filename,blur_path,sharp_path,blur_shape,sharp_shape,blur_lap_var,sharp_lap_var,blur_ratio,blur_level
000001.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000001.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000001.png,"(720, 1280)","(720, 1280)",13.613243245008254,185.18672741065788,0.0735109013189985,high_blur
000002.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000002.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000002.png,"(720, 1280)","(720, 1280)",44.505477089771276,186.3244747641056,0.23886007001349893,low_blur
000003.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000003.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000003.png,"(720, 1280)","(720, 1280)",37.04610276398718,197.53317466622352,0.18754370158181996,medium_blur
000004.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000004.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000004.png,"(720, 1280)","(720, 1280)",32.94347221826153,190.85436935594234,0.17261052145521508,medium_blur
000005.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000005.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000005.png,"(720, 1280)","(720, 1280)",25.160058537796413,193.84692057279884,0.12979343939100474,high_blur
000006.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000006.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000006.png,"(720, 1280)","(720, 1280)",17.963302697904616,196.0545611345032,0.09162399789650727,high_blur
000007.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000007.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000007.png,"(720, 1280)","(720, 1280)",46.20369138985623,195.54084525891406,0.23628665062951645,low_blur
000008.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000008.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000008.png,"(720, 1280)","(720, 1280)",23.067299780155704,184.70509207916146,0.12488718919032606,high_blur
000009.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000009.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000009.png,"(720, 1280)","(720, 1280)",22.805613988122833,171.88995913059458,0.13267566123201735,high_blur
000010.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000010.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000010.png,"(720, 1280)","(720, 1280)",29.43681268522358,196.82529947085908,0.14955807390038423,medium_blur
000011.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000011.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000011.png,"(720, 1280)","(720, 1280)",16.573385408749985,190.8716306003982,0.08683000902621885,high_blur
000012.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000012.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000012.png,"(720, 1280)","(720, 1280)",16.646334611676057,192.7467620235443,0.08636375748184576,high_blur
000013.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000013.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000013.png,"(720, 1280)","(720, 1280)",31.73521581494248,191.0006780727705,0.16615237251246806,medium_blur
000014.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000014.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000014.png,"(720, 1280)","(720, 1280)",15.852316881528314,187.58426539347965,0.08450771096089094,high_blur
000015.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000015.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000015.png,"(720, 1280)","(720, 1280)",19.50463758650414,180.96339726209175,0.10778222491688462,high_blur
000016.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000016.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000016.png,"(720, 1280)","(720, 1280)",78.19458875866997,188.42522337676144,0.4149900281565161,low_blur
000017.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000017.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000017.png,"(720, 1280)","(720, 1280)",14.802148406600953,180.60951901397584,0.08195663488055673,high_blur
000018.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000018.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000018.png,"(720, 1280)","(720, 1280)",42.7737530324194,184.69875935439006,0.23158657469935437,low_blur
000019.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000019.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000019.png,"(720, 1280)","(720, 1280)",29.30373155253728,188.1863725018807,0.15571654398453988,medium_blur
000020.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000020.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000020.png,"(720, 1280)","(720, 1280)",28.632656752857155,183.80097325877307,0.15578076787976242,medium_blur
000021.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000021.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000021.png,"(720, 1280)","(720, 1280)",15.650843825276693,184.4371162560063,0.08485734402127663,high_blur
000022.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000022.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000022.png,"(720, 1280)","(720, 1280)",22.726436631473483,191.7763225214911,0.11850491411806915,high_blur
000023.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000023.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000023.png,"(720, 1280)","(720, 1280)",26.757333827519123,188.05440889980053,0.14228506517150127,high_blur
000024.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000024.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000024.png,"(720, 1280)","(720, 1280)",25.565713740359406,238.8118324866777,0.10705379826904125,high_blur
000025.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000025.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000025.png,"(720, 1280)","(720, 1280)",13.848460286428894,163.56075911908565,0.08466859875295267,high_blur
000026.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000026.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000026.png,"(720, 1280)","(720, 1280)",13.919995640432099,175.10195876462964,0.07949651584622337,high_blur
000027.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000027.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000027.png,"(720, 1280)","(720, 1280)",11.386421373155386,170.71303092060683,0.06669919285648354,high_blur
000028.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000028.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000028.png,"(720, 1280)","(720, 1280)",11.210772931883072,169.4209419195376,0.06617111677106392,high_blur
000029.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000029.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000029.png,"(720, 1280)","(720, 1280)",16.088851725260415,169.39924001600002,0.09497593804311659,high_blur
000030.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000030.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000030.png,"(720, 1280)","(720, 1280)",16.35933719374928,177.39897766711857,0.0922177647693364,high_blur
000031.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000031.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000031.png,"(720, 1280)","(720, 1280)",38.732020353147725,181.9964366138411,0.21281746539467092,medium_blur
000032.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000032.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000032.png,"(720, 1280)","(720, 1280)",15.698448298094018,176.63697939647983,0.08887407580701716,high_blur
000033.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000033.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000033.png,"(720, 1280)","(720, 1280)",21.810167660690826,183.3009094866423,0.11898559434638453,high_blur
000034.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000034.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000034.png,"(720, 1280)","(720, 1280)",24.500447274648412,180.83176924799685,0.1354875162433049,high_blur
000035.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000035.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000035.png,"(720, 1280)","(720, 1280)",20.344256690544558,194.20560526889744,0.10475627962091155,high_blur
000036.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\blur\images\000036.png,C:\Users\User\comp6001_assignment1\data\raw\gopro\sharp\images\000036.png,"(720, 1280)","(720, 1280)",17.517539392989367,205.59244412501653,0.085205171166141,high_blur
