epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2139,1.25638,1.69971,1.32199,0.65526,0.525,0.5913,0.44371,1.10787,1.24513,1.16353,2.856e-05,2.856e-05,2.856e-05
2,38.8106,1.19894,1.6098,1.28815,0.6369,0.55047,0.60094,0.45046,1.09091,1.18961,1.14891,5.44615e-05,5.44615e-05,5.44615e-05
3,53.3074,1.22428,1.47565,1.28676,0.69318,0.54229,0.62073,0.46313,1.08595,1.17807,1.14299,7.64361e-05,7.64361e-05,7.64361e-05
4,66.7024,1.16808,1.48267,1.26474,0.67274,0.58263,0.65295,0.48337,1.06995,1.15087,1.13448,9.44836e-05,9.44836e-05,9.44836e-05
5,80.7408,1.227,1.4628,1.26439,0.67335,0.61254,0.66658,0.50271,1.05654,1.10435,1.12667,8.7584e-05,8.7584e-05,8.7584e-05
6,118.113,1.178,1.50931,1.21879,0.72016,0.60931,0.66861,0.50584,1.04503,1.10563,1.11693,7.973e-05,7.973e-05,7.973e-05
7,130.87,1.19322,1.45809,1.23009,0.74401,0.59956,0.67633,0.51067,1.04207,1.09257,1.11318,7.1876e-05,7.1876e-05,7.1876e-05
8,144.66,1.14194,1.39888,1.22464,0.77033,0.58695,0.68336,0.51876,1.03132,1.05453,1.10792,6.4022e-05,6.4022e-05,6.4022e-05
9,157.606,1.11041,1.34792,1.21786,0.78715,0.58855,0.69508,0.52976,1.02623,1.03491,1.107,5.6168e-05,5.6168e-05,5.6168e-05
10,171.145,1.11104,1.28763,1.20983,0.72923,0.62407,0.70119,0.53557,1.01783,1.0157,1.10293,4.8314e-05,4.8314e-05,4.8314e-05
11,184.292,1.12288,1.24058,1.19853,0.78612,0.60763,0.70917,0.54162,1.00613,0.99798,1.09504,4.046e-05,4.046e-05,4.046e-05
12,198.069,1.1038,1.23848,1.17782,0.78017,0.62716,0.71586,0.5505,1.00055,0.98989,1.0929,3.2606e-05,3.2606e-05,3.2606e-05
13,211.133,1.08784,1.1871,1.18117,0.77516,0.6392,0.72139,0.55665,0.99337,0.97602,1.08844,2.4752e-05,2.4752e-05,2.4752e-05
14,224.764,1.07289,1.19594,1.17563,0.77612,0.63246,0.72318,0.55826,0.98642,0.97283,1.08401,1.6898e-05,1.6898e-05,1.6898e-05
15,237.881,1.06446,1.16833,1.18212,0.79797,0.63148,0.72621,0.56174,0.98288,0.96677,1.08333,9.044e-06,9.044e-06,9.044e-06
1,26.6248,1.25638,1.69971,1.32199,0.65526,0.525,0.5913,0.44371,1.10787,1.24513,1.16353,2.856e-05,2.856e-05,2.856e-05
2,43.7624,1.19894,1.6098,1.28815,0.6369,0.55047,0.60094,0.45046,1.09091,1.18961,1.14891,5.44615e-05,5.44615e-05,5.44615e-05
3,58.8332,1.22428,1.47565,1.28676,0.69318,0.54229,0.62073,0.46313,1.08595,1.17807,1.14299,7.64361e-05,7.64361e-05,7.64361e-05
4,75.1411,1.16808,1.48267,1.26474,0.67274,0.58263,0.65295,0.48337,1.06995,1.15087,1.13448,9.44836e-05,9.44836e-05,9.44836e-05
5,90.3482,1.227,1.4628,1.26439,0.67335,0.61254,0.66658,0.50271,1.05654,1.10435,1.12667,8.7584e-05,8.7584e-05,8.7584e-05
6,131.12,1.178,1.50931,1.21879,0.72016,0.60931,0.66861,0.50584,1.04503,1.10563,1.11693,7.973e-05,7.973e-05,7.973e-05
7,146.101,1.19322,1.45809,1.23009,0.74401,0.59956,0.67633,0.51067,1.04207,1.09257,1.11318,7.1876e-05,7.1876e-05,7.1876e-05
8,161.223,1.14194,1.39888,1.22464,0.77033,0.58695,0.68336,0.51876,1.03132,1.05453,1.10792,6.4022e-05,6.4022e-05,6.4022e-05
9,177.149,1.11041,1.34792,1.21786,0.78715,0.58855,0.69508,0.52976,1.02623,1.03491,1.107,5.6168e-05,5.6168e-05,5.6168e-05
10,193.33,1.11104,1.28763,1.20983,0.72923,0.62407,0.70119,0.53557,1.01783,1.0157,1.10293,4.8314e-05,4.8314e-05,4.8314e-05
11,209.013,1.12288,1.24058,1.19853,0.78612,0.60763,0.70917,0.54162,1.00613,0.99798,1.09504,4.046e-05,4.046e-05,4.046e-05
12,224.922,1.1038,1.23848,1.17782,0.78017,0.62716,0.71586,0.5505,1.00055,0.98989,1.0929,3.2606e-05,3.2606e-05,3.2606e-05
13,240.528,1.08784,1.1871,1.18117,0.77516,0.6392,0.72139,0.55665,0.99337,0.97602,1.08844,2.4752e-05,2.4752e-05,2.4752e-05
14,255.754,1.07289,1.19594,1.17563,0.77612,0.63246,0.72318,0.55826,0.98642,0.97283,1.08401,1.6898e-05,1.6898e-05,1.6898e-05
15,271.067,1.06446,1.16833,1.18212,0.79797,0.63148,0.72621,0.56174,0.98288,0.96677,1.08333,9.044e-06,9.044e-06,9.044e-06
